0000: 8005a58 0 r 4 0x08005a8c:20010000
0001: 8005a68 0 r 4 0x08005a94:20000198
0002: 8005a6a 0 r 4 0x08005a98:20000c68
0003: 8005a60 0 r 4 0x08005a90:8018e58
0004: 8005a62 0 r 4 0x08018e58:0
0005: 8005a64 0 w 4 0x20000198:0
0006: 8005a68 0 r 4 0x08005a94:20000198
0007: 8005a6a 0 r 4 0x08005a98:20000c68
0008: 8005a60 0 r 4 0x08005a90:8018e58
0009: 8005a62 0 r 4 0x08018e5c:4
000a: 8005a64 0 w 4 0x2000019c:4
000b: 8005a68 0 r 4 0x08005a94:20000198
000c: 8005a6a 0 r 4 0x08005a98:20000c68
000d: 8005a60 0 r 4 0x08005a90:8018e58
000e: 8005a62 0 r 4 0x08018e60:8003d0d
000f: 8005a64 0 w 4 0x200001a0:8003d0d
0010: 8005a68 0 r 4 0x08005a94:20000198
0011: 8005a6a 0 r 4 0x08005a98:20000c68
0012: 8005a60 0 r 4 0x08005a90:8018e58
0013: 8005a62 0 r 4 0x08018e64:ffffffff
0014: 8005a64 0 w 4 0x200001a4:ffffffff
0015: 8005a68 0 r 4 0x08005a94:20000198
0016: 8005a6a 0 r 4 0x08005a98:20000c68
0017: 8005a60 0 r 4 0x08005a90:8018e58
0018: 8005a62 0 r 4 0x08018e68:fedcba23 12345678 23abcdef
0019: 8005a64 0 w 4 0x200001a8:23abcdef fedcba23 12345678
001a: 8005a68 0 r 4 0x08005a94:12345678 23abcdef fedcba23
001b: 8005a6a 0 r 4 0x08005a98:20000c68
001c: 8005a60 0 r 4 0x08005a90:8018e58
001d: 8005a62 0 r 4 0x08018e6c:ffffffff
001e: 8005a64 0 w 4 0x200001ac:ffffffff
001f: 8005a68 0 r 4 0x08005a94:20000198
0020: 8005a6a 0 r 4 0x08005a98:20000c68
0021: 8005a60 0 r 4 0x08005a90:8018e58
0022: 8005a62 0 r 4 0x08018e70:0
0023: 8005a64 0 w 4 0x200001b0:0
0024: 8005a68 0 r 4 0x08005a94:20000198
0025: 8005a6a 0 r 4 0x08005a98:20000c68
0026: 8005a60 0 r 4 0x08005a90:8018e58
0027: 8005a62 0 r 4 0x08018e74:0
0028: 8005a64 0 w 4 0x200001b4:0
0029: 8005a68 0 r 4 0x08005a94:20000198
002a: 8005a6a 0 r 4 0x08005a98:20000c68
002b: 8005a60 0 r 4 0x08005a90:8018e58
